Year,PCOD_BIO,BENPRED_BIO,BENINVERT_BIO,RACE_CP,ROMS_CP,RACE_SUM_BT,ROMS_SUM_BT,ROMS_SPR_BT,RKC_REC_BIO,PDO,WIND_STRESS,CHL_A,ROMS_OA,PCOD_OVLP,MALE_LW_RESID,SOCK_ABUN,CATCH_DISTSHORE,RKC_MIEW,MATMALE_D95,MATFEM_D95,AO
1999,222,696.54,1136.252574,41704,0.594065202,1.217197452,1.633642193,0.076789674,11553.79609,-1.016,4.81,NA,NA,44,NA,NA,NA,NA,11228,8020,-0.3
2000,184,607.73,1386.180637,23258,0.399841808,2.58013245,2.691446685,0.021550259,11106.43517,-1.648,5.51,NA,NA,43.3,-0.0134,NA,109.73,NA,16441,11629,0.631666667
2001,299,784.46,1371.380355,4812,0.329907539,3.304477612,3.225429732,2.512000859,6067.722262,-0.196,4.24,NA,NA,44.1,0.0416,NA,100.87,NA,16842,9624,-1.089333333
2002,168,628.85,1554.064258,802,0.220974247,3.571111111,3.480546015,0.633113791,13009.83508,-1.114,4.77,NA,NA,43,NA,8591,97.53,NA,14035,10827,1.195666667
2003,210,785.89,1259.21713,802,0.137996378,4.066165414,3.6009589,2.463120883,14874.97631,1.268,5.69,3.125005111,7.9941,46.3,NA,10712,109.21,NA,14837,10827,0.196333333
2004,156,745.47,1553.327611,0,0.256103464,3.77238806,3.390338944,1.495564981,18587.50682,-0.348,5.33,3.793559854,8.006,44.9,NA,6202,125.11,NA,12431,9223,-0.965333333
2005,135,778.65,1353.461727,0,0.186523205,4.284615385,3.852816598,2.110726582,14562.94885,-0.264,5.27,2.869235233,7.9897,47.8,NA,13078,112.13,NA,15639,10025,-0.754333333
2006,118,735.62,1347.432834,18446,0.474290823,2.74601227,2.607503969,0.486379271,10516.24454,-0.362,5.14,1.996913757,7.9763,49.3,-0.0127,1808,157.52,NA,16842,13634,-0.643333333
2007,110,700.66,1293.764467,28471,0.604042264,2.339285714,1.557010447,0.650996292,14081.57131,-0.746,5.36,2.107086713,7.9556,47.8,-0.0323,5311,115.09,0.197,17243,12832,0.636333333
2008,109,604.77,1204.164426,37293,0.629599723,1.986904762,1.795884852,-0.077449162,21805.92481,-1.31,4.67,2.195075774,7.9589,54.4,0.000657,NA,74.98,0.21,15639,13233,0.781
2009,158,664.03,1134.075806,34887,0.627856802,2.000595238,1.507401658,-0.035595087,16796.49998,-1.71,4.98,3.158872095,7.9358,44.9,0.00243,1877,76.68,0.195,12030,11629,0.083
2010,381,942.02,1339.007261,26867,0.567914307,2.193670886,1.398886925,0.282074033,11463.72493,-0.262,6.34,4.162513711,7.9792,38.2,-0.00134,911,91.99,0.204,12431,9624,-2.428333333
2011,371,946.82,1607.163316,9223,0.445334785,3.231410256,2.373007625,0.103896567,7197.509361,-1.63,7.24,2.904455368,7.9802,39.7,-0.013,599,81.83,NA,13634,11629,0.438666667
2012,314,794.67,1719.223205,39298,0.654653449,1.54,1.237910446,-0.354102729,6680.150839,-2.042,6.02,2.855310934,7.9561,43.4,-0.0186,1177,67.24,0.192,14837,9624,0.260333333
2013,328,758.84,1886.150801,22456,0.545678333,2.374264706,1.906898271,0.477305208,8300.244519,-1.194,5.39,2.970577178,7.879,41.2,0.0258,NA,76.31,NA,12431,6817,-1.600666667
2014,360,905.19,1505.279677,401,0.211955706,4.148529412,3.574797459,1.857103779,15671.50677,-0.56,6.77,4.280259725,7.9014,49.3,NA,29376,87.45,0.206,14837,8822,0.093666667
2015,386,852.09,1485.984478,0,0.286135377,4.490441176,4.076356667,2.092939022,7109.140418,1.512,6.05,3.946380863,7.9637,46.3,0.0333,NA,98.16,NA,15639,10025,1.324
2016,306,919.88,1256.008893,0,0.156895143,5.488235294,5.147619292,2.875077571,3932.646842,0.808,5.93,2.370251368,7.9811,53.7,NA,14552,115.01,0.213,18446,12030,-0.397666667
2017,202,887.04,1527.208302,18446,0.432322039,3.112820513,2.372755066,0.973214977,2857.304281,0.32,5.59,1.945453971,7.9723,52.9,-0.0103,NA,97.4,NA,20451,13634,0.882333333
2018,171,781.07,976.948721,0,0.011324649,4.613235294,4.366184112,1.596214,2321.674062,-0.2,6.05,2.100361709,7.9395,48.5,NA,27163,106.33,NA,19248,10827,-0.369666667
2019,167,732.27,1098.970245,0,0.08154971,5.105147059,4.241688966,2.255990895,4767.52523,-0.458,6.58,2.236919847,7.9401,49.3,0.0327,NA,123.47,NA,18045,15639,0.850666667
2020,NA,NA,NA,NA,0.487672253,NA,2.376455625,0.366120237,NA,-1.024,6.04,2.527796898,7.9148,NA,NA,NA,102.2027537,NA,NA,NA,2.825666667
2021,NA,NA,NA,0,NA,3.923529412,NA,NA,4240.518379,-1.186,6.3,2.490696415,7.905,NA,,NA,NA,NA,16441,14436,-0.522
